Day,Month,Year,Site,Landuse,Lat,Lon,Sex,MitesPres,MitesNum
17,7,2006,BR1_G,Grassland,34.49675,-101.39587,F,0,0
24,8,2006,BR1_G,Grassland,34.49675,-101.39587,F,0,0
24,8,2006,BR1_G,Grassland,34.49675,-101.39587,F,0,0
26,6,2006,BR13_C,Cropland,34.53492,-101.29352,F,0,0
26,6,2006,BR13_C,Cropland,34.53492,-101.29352,M,0,0
26,6,2006,BR13_C,Cropland,34.53492,-101.29352,M,0,0
17,7,2006,BR13_C,Cropland,34.53492,-101.29352,M,0,6
17,7,2006,BR13_C,Cropland,34.53492,-101.29352,M,1,40
17,7,2006,BR13_C,Cropland,34.53492,-101.29352,M,1,11
22,6,2006,BR19_C,Cropland,34.4734,-101.25743,F,0,0
22,6,2006,BR19_C,Cropland,34.4734,-101.25743,F,0,0
22,6,2006,BR19_C,Cropland,34.4734,-101.25743,M,0,0
22,6,2006,BR19_C,Cropland,34.4734,-101.25743,M,0,0
22,6,2006,BR19_C,Cropland,34.4734,-101.25743,M,0,0
17,7,2006,BR19_C,Cropland,34.4734,-101.25743,F,1,7
17,7,2006,BR19_C,Cropland,34.4734,-101.25743,F,0,0
17,7,2006,BR19_C,Cropland,34.4734,-101.25743,M,1,25
22,8,2006,BR19_C,Cropland,34.4597,-101.30849,F,0,0
1,6,2006,BR1A_G,Grassland,34.50277,-101.39148,F,0,0
26,6,2006,BR4_G,Grassland,34.48478,-101.15743,M,0,0
26,6,2006,BR4_G,Grassland,34.48478,-101.15743,M,0,0
26,6,2006,BR4_G,Grassland,34.48478,-101.15743,M,0,0
18,7,2006,BR4_G,Grassland,34.48478,-101.15743,F,0,0
18,7,2006,BR4_G,Grassland,34.48478,-101.15743,F,1,6
18,7,2006,BR4_G,Grassland,34.48478,-101.15743,F,1,6
18,7,2006,BR4_G,Grassland,34.48478,-101.15743,M,1,1
1,6,2006,BR59_C,Cropland,34.41095,-101.28262,F,1,1
1,6,2006,BR59_C,Cropland,34.41095,-101.28262,F,1,1
1,6,2006,BR59_C,Cropland,34.41095,-101.28262,M,1,1
26,6,2006,BR67_C,Cropland,34.4597,-101.30849,F,0,0
26,6,2006,BR67_C,Cropland,34.4597,-101.30849,F,0,0
26,6,2006,BR67_C,Cropland,34.4597,-101.30849,M,0,0
18,7,2006,BR67_C,Cropland,34.4597,-101.30849,F,0,0
18,7,2006,BR67_C,Cropland,34.4597,-101.30849,F,1,16
18,7,2006,BR67_C,Cropland,34.4597,-101.30849,M,0,0
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,F,0,0
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,F,1,33
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,M,1,15
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,M,1,20
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,M,0,0
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,M,1,1
22,8,2006,BR67_C,Cropland,34.4597,-101.30849,M,1,21
26,6,2006,S25_G,Grassland,34.48852,-101.54364,F,0,0
26,6,2006,S25_G,Grassland,34.48852,-101.54364,M,0,0
26,6,2006,S25_G,Grassland,34.48852,-101.54364,M,0,0
17,7,2006,S25_G,Grassland,34.48852,-101.54364,F,0,0
17,7,2006,S25_G,Grassland,34.48852,-101.54364,F,0,0
17,7,2006,S49_C,Cropland,34.57704,-101.5901,F,0,0
22,5,2007,BR1_G,Grassland,34.49675,-101.39587,F,1,17
22,5,2007,BR1_G,Grassland,34.49675,-101.39587,F,0,0
22,5,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,F,1,8
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,F,1,6
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,F,0,0
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,1,18
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,1,7
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,1,4
19,6,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
23,7,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
23,7,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
23,7,2007,BR1_G,Grassland,34.49675,-101.39587,M,0,0
20,8,2007,BR1_G,Grassland,34.57704,-101.5901,M,1,7
